year,state,state_code,region,vfr_share_visitor,vfr_share_tourist,holiday_share_visitor,holiday_share_tourist,shopping_share_visitor,shopping_share_tourist,entertainment_share_visitor,entertainment_share_tourist,business_share_visitor,business_share_tourist,medical_share_visitor,medical_share_tourist,religious_share_visitor,religious_share_tourist,incentive_others_share_visitor,incentive_others_share_tourist
2021,Negeri Sembilan,MY-05,Central,14.37,42.02,16.25,48.22,42.0,3.44,1.84,0.15,0.66,2.84,23.19,0.6,0.15,2.45,1.54,0.28
2021,Pahang,MY-06,East Coast,27.04,39.05,24.21,52.54,23.79,0.53,2.95,0.82,2.87,2.18,10.91,0.36,0.09,0.31,8.14,4.21
2021,Perak,MY-08,Northern,36.41,56.72,13.35,31.12,24.28,8.21,3.71,0.18,1.12,1.27,18.91,1.56,0.51,0.89,1.71,0.05
2021,Perlis,MY-09,Northern,37.64,64.1,18.18,22.42,27.75,10.05,4.66,0.26,0.67,2.22,2.92,0.65,0.21,0.22,7.97,0.08
2021,Pulau Pinang,MY-07,Northern,35.07,55.02,14.35,33.35,40.01,8.78,1.66,1.13,0.25,0.61,3.27,0.32,0.27,0.21,5.12,0.58
2021,Sabah,MY-12,East Malaysia,27.84,54.54,14.57,37.74,43.29,0.19,2.29,2.36,1.41,0.13,3.95,3.79,0.27,0.08,6.38,1.17
2021,Sarawak,MY-13,East Malaysia,34.22,68.45,14.99,23.83,28.74,2.16,0.48,0.15,4.67,2.43,8.52,0.23,0.21,0.11,8.17,2.64
2021,Selangor,MY-10,Central,14.99,46.33,12.76,33.03,28.8,15.92,13.0,1.79,1.06,1.77,14.12,0.62,1.15,0.25,14.12,0.29
2021,Terengganu,MY-11,East Coast,26.09,55.68,23.74,33.78,41.71,7.75,5.07,0.62,1.03,1.39,0.56,0.18,0.1,0.28,1.7,0.32
2021,W.P. Kuala Lumpur,MY-14,Central,9.22,61.35,3.03,19.84,54.29,8.86,6.37,3.12,1.64,1.14,14.5,4.99,0.66,0.05,10.29,0.65
2021,W.P. Labuan,MY-15,East Malaysia,40.02,79.3,12.42,14.19,8.21,5.17,31.1,0.08,4.15,0.62,1.62,0.24,0.33,0.05,2.15,0.35
2021,W.P. Putrajaya,MY-16,Central,34.88,44.08,16.45,22.01,11.73,12.05,14.58,5.22,9.28,8.28,5.47,6.26,2.62,0.55,4.99,1.55
2022,Johor,MY-01,Southern,58.22,69.83,14.99,22.07,17.45,6.0,0.91,0.07,1.09,1.04,4.4,0.24,0.33,0.0,2.61,0.75
2022,Kedah,MY-02,Northern,50.4,63.03,17.75,31.9,26.49,1.68,0.96,0.2,0.14,0.18,1.33,0.77,0.0,0.0,2.93,2.24
2022,Kelantan,MY-03,East Coast,52.73,80.14,4.33,8.33,33.21,7.19,2.88,0.0,0.25,0.48,4.39,0.57,0.14,0.26,2.07,3.03
2022,Melaka,MY-04,Southern,29.54,57.82,18.24,32.47,34.27,4.97,3.86,0.9,0.59,1.11,8.79,0.54,0.77,0.01,3.94,2.18
2022,Negeri Sembilan,MY-05,Central,26.89,60.29,10.23,30.14,43.31,3.91,1.23,0.5,1.08,1.48,15.49,1.59,0.59,0.0,1.18,2.09
2022,Pahang,MY-06,East Coast,38.87,53.54,27.63,40.58,24.89,1.31,1.98,0.99,0.37,0.5,1.0,0.1,0.03,0.0,5.23,2.98
2022,Perak,MY-08,Northern,48.83,75.41,12.88,17.77,21.12,1.67,5.08,1.09,1.33,1.53,5.54,0.25,0.97,0.64,4.25,1.64
2022,Perlis,MY-09,Northern,46.83,68.16,12.18,18.31,34.88,9.93,1.37,1.69,0.33,0.65,1.1,0.33,0.7,0.0,2.61,0.93
2022,Pulau Pinang,MY-07,Northern,25.74,39.05,17.05,46.59,42.05,8.62,9.5,2.73,0.63,1.73,2.04,0.78,0.55,0.14,2.44,0.36
2022,Sabah,MY-12,East Malaysia,33.39,53.44,13.61,37.12,43.31,2.3,5.5,4.21,0.76,1.1,1.14,1.17,0.0,0.0,2.29,0.66
2022,Sarawak,MY-13,East Malaysia,21.99,65.31,7.12,19.34,51.94,2.44,0.99,1.26,2.15,7.88,5.9,0.41,2.24,0.0,7.67,3.36
2022,Selangor,MY-10,Central,30.49,63.74,10.75,25.62,39.73,3.9,6.99,1.79,0.77,1.36,1.39,0.69,2.24,0.14,7.64,2.76
2022,Terengganu,MY-11,East Coast,30.87,53.48,12.86,23.21,46.78,15.58,1.41,1.69,0.7,1.92,4.34,0.01,0.0,0.0,3.04,4.11
2022,W.P. Kuala Lumpur,MY-14,Central,17.97,44.23,8.47,29.93,52.32,14.27,6.29,4.3,0.84,2.14,6.8,4.26,0.94,0.0,6.37,0.87
2022,W.P. Labuan,MY-15,East Malaysia,27.82,19.84,43.03,41.14,21.46,29.85,0.86,0.0,4.59,4.45,0.04,0.0,0.0,0.0,2.2,4.72
2022,W.P. Putrajaya,MY-16,Central,16.04,40.73,6.3,24.5,44.89,14.6,11.61,3.08,4.56,5.87,8.13,0.38,0.19,0.0,8.28,10.84
2023,Johor,MY-01,Southern,55.54,68.1,16.38,26.48,15.58,2.06,2.88,1.7,1.78,0.84,3.94,0.28,1.11,0.2,2.79,0.34
2023,Kedah,MY-02,Northern,45.21,50.62,14.18,28.1,27.02,11.46,2.8,2.16,0.51,0.5,3.25,2.84,0.02,0.04,7.01,4.28
2023,Kelantan,MY-03,East Coast,50.27,67.01,21.91,19.7,13.07,4.48,5.77,4.2,0.59,1.24,4.94,2.38,0.31,0.29,3.14,0.7
2023,Melaka,MY-04,Southern,17.08,46.5,20.98,45.27,52.03,4.91,1.74,0.04,0.47,1.48,4.93,1.17,0.4,0.34,2.37,0.29
2023,Negeri Sembilan,MY-05,Central,25.5,65.55,6.09,26.74,43.42,4.77,2.63,0.08,0.11,0.54,17.85,0.29,2.84,0.0,1.56,2.03
2023,Pahang,MY-06,East Coast,38.03,45.75,12.28,42.12,31.79,2.52,4.61,2.95,1.19,1.59,1.8,0.54,0.56,0.4,9.74,4.13
2023,Perak,MY-08,Northern,51.24,68.96,12.79,23.14,23.62,3.45,2.47,1.32,0.89,1.03,3.09,0.22,1.03,0.36,4.87,1.52
2023,Perlis,MY-09,Northern,45.54,57.47,16.07,24.69,21.61,6.94,6.09,3.55,1.16,2.84,1.94,2.83,0.17,0.37,7.42,1.31
2023,Pulau Pinang,MY-07,Northern,25.98,46.93,4.84,33.6,46.96,12.88,6.07,1.07,0.49,2.12,5.04,0.47,0.74,0.14,9.88,2.79
2023,Sabah,MY-12,East Malaysia,34.72,50.55,21.38,39.07,25.4,1.82,5.59,4.32,1.05,0.63,1.94,0.54,3.23,1.65,6.69,1.42
2023,Sarawak,MY-13,East Malaysia,30.12,62.02,10.5,25.57,41.06,3.62,2.94,1.41,1.1,2.95,5.77,2.04,0.73,0.82,7.78,1.57
2023,Selangor,MY-10,Central,35.34,62.52,17.07,30.61,33.28,2.35,3.95,1.0,1.04,1.22,2.81,0.24,1.41,0.0,5.1,2.06
2023,Terengganu,MY-11,East Coast,40.99,55.04,15.44,29.54,34.67,12.11,2.27,0.0,0.37,1.69,2.02,0.45,1.2,0.0,3.04,1.17
2023,W.P. Kuala Lumpur,MY-14,Central,19.74,46.84,17.74,31.24,32.44,13.54,13.68,3.36,1.05,1.18,4.45,0.15,1.64,0.54,9.26,3.15
2023,W.P. Labuan,MY-15,East Malaysia,25.64,25.82,57.73,48.49,2.37,2.4,2.18,1.06,8.12,18.22,3.17,3.21,0.0,0.0,0.79,0.8
2023,W.P. Putrajaya,MY-16,Central,34.88,33.44,23.98,28.34,17.3,1.58,4.82,13.21,10.91,20.86,3.12,0.51,0.45,0.17,4.54,1.89
2024,Johor,MY-01,Southern,51.98,65.2,14.46,21.59,13.54,5.58,9.86,1.48,1.2,1.3,2.93,0.24,0.7,0.1,5.33,4.51
2024,Kedah,MY-02,Northern,57.84,72.6,11.11,14.82,15.44,6.49,1.07,0.33,0.29,0.06,4.3,0.61,0.27,0.05,9.68,5.04
