year,state,state_code,region,rank,district_name
2023,Sabah,MY-12,East Malaysia,4,Lahad Datu
2023,Sabah,MY-12,East Malaysia,5,Sandakan
2023,Pahang,MY-06,East Coast,1,Kuantan
2023,Pahang,MY-06,East Coast,2,Cameron Highlands
2023,Pahang,MY-06,East Coast,3,Bentong
2023,Pahang,MY-06,East Coast,4,Temerloh
2023,Pahang,MY-06,East Coast,5,Pekan
2023,Sarawak,MY-13,East Malaysia,1,Kuching
2023,Sarawak,MY-13,East Malaysia,2,Sibu
2023,Sarawak,MY-13,East Malaysia,3,Miri
2023,Sarawak,MY-13,East Malaysia,4,Bintulu
2023,Sarawak,MY-13,East Malaysia,5,Sri Aman
2024,Johor,MY-01,Southern,1,Johor Bahru
2024,Johor,MY-01,Southern,2,Batu Pahat
2024,Johor,MY-01,Southern,3,Muar
2024,Johor,MY-01,Southern,4,Kota Tinggi
2024,Johor,MY-01,Southern,5,Segamat
2024,Pulau Pinang,MY-07,Northern,1,Timur Laut
2024,Pulau Pinang,MY-07,Northern,2,Barat Daya
2024,Pulau Pinang,MY-07,Northern,3,Seberang Perai Tengah
2024,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2024,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2024,Kedah,MY-02,Northern,1,Kota Setar
2024,Kedah,MY-02,Northern,2,Langkawi
2024,Kedah,MY-02,Northern,3,Kuala Muda
2024,Kedah,MY-02,Northern,4,Baling
2024,Kedah,MY-02,Northern,5,Kulim
2024,Perak,MY-08,Northern,1,Kinta
2024,Perak,MY-08,Northern,2,Larut & Matang
2024,Perak,MY-08,Northern,3,Manjung
2024,Perak,MY-08,Northern,4,Kuala Kangsar
2024,Perak,MY-08,Northern,5,Batang Padang
2024,Kelantan,MY-03,East Coast,1,Kota Bharu
2024,Kelantan,MY-03,East Coast,2,Bachok
2024,Kelantan,MY-03,East Coast,3,Pasir Mas
2024,Kelantan,MY-03,East Coast,4,Pasir Puteh
2024,Kelantan,MY-03,East Coast,5,Tanah Merah
2024,Selangor,MY-10,Central,1,Petaling
2024,Selangor,MY-10,Central,2,Sepang
2024,Selangor,MY-10,Central,3,Gombak
2024,Selangor,MY-10,Central,4,Kuala Selangor
2024,Selangor,MY-10,Central,5,Hulu Langat
2024,Melaka,MY-04,Southern,1,Melaka Tengah
2024,Melaka,MY-04,Southern,2,Alor Gajah
2024,Melaka,MY-04,Southern,3,Jasin
2024,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2024,Terengganu,MY-11,East Coast,2,Kuala Nerus
2024,Terengganu,MY-11,East Coast,3,Kemaman
2024,Terengganu,MY-11,East Coast,4,Besut
2024,Terengganu,MY-11,East Coast,5,Dungun
2024,Negeri Sembilan,MY-05,Central,1,Seremban
2024,Negeri Sembilan,MY-05,Central,2,Port Dickson
2024,Negeri Sembilan,MY-05,Central,3,Tampin
2024,Negeri Sembilan,MY-05,Central,4,Kuala Pilah
2024,Negeri Sembilan,MY-05,Central,5,Jempol
2024,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2024,Sabah,MY-12,East Malaysia,2,Ranau
2024,Sabah,MY-12,East Malaysia,3,Tawau
2024,Sabah,MY-12,East Malaysia,4,Sandakan
2024,Sabah,MY-12,East Malaysia,5,Keningau
