year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2025,Kelantan,MY-03,East Coast,12062.02,6512.13,5549.89,2.98,5239.01,486.94,925.23,1567.48,362.24,0.0929,6392.0,1906.9,1239.0,371.309,371309,4339.9,5.14,1160.54,23.13,19406.1474,24956.0374,209.9,0.85,2562.8,48.9,6.33,3.42,1311.4,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Melaka,MY-04,Southern,13122.6,5203.75,7918.85,2.23,5563.54,493.36,1048.19,2124.26,191.09,0.0887,19354.0,922.4,636.8,223.03,223030,5894.5,4.14,2156.12,39.43,11604.3625,19523.2125,285.0,1.52,2866.7,51.5,14.23,5.64,2212.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Melaka,MY-04,Southern,13978.97,4649.65,9329.32,2.29,6369.89,500.77,1132.25,2469.29,278.65,0.0786,20189.0,928.4,639.9,227.9,227900,6054.0,4.07,2032.21,36.19,10647.698499999999,19977.0185,318.9,2.01,3313.7,52.0,15.06,5.01,2197.3,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2020,Melaka,MY-04,Southern,7274.55,2859.49,4415.06,1.8,2372.63,152.95,551.63,1092.32,108.04,0.0645,20374.0,998.4,701.2,238.743,238743,6105.6,4.18,2067.65,37.17,5147.081999999999,9562.142,248.1,1.54,1277.4,53.8,7.29,2.86,640.6,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Melaka,MY-04,Southern,3878.14,995.22,2882.92,1.86,1004.11,67.21,154.23,425.28,48.28,0.0669,19581.0,1004.5,705.4,250.101,250101,6157.6,4.02,2214.77,40.32,1851.1092,4734.0292,212.1,2.9,536.5,53.4,3.86,0.99,268.7,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2022,Melaka,MY-04,Southern,11757.17,4559.32,7197.84,2.14,4842.59,408.08,761.94,2101.24,292.39,0.0843,19343.0,1008.6,706.7,262.0,262000,6210.0,3.85,2023.24,35.95,9756.9448,16954.7848,285.6,1.58,2541.7,52.5,11.66,4.52,1557.6,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2023,Melaka,MY-04,Southern,15558.66,4991.13,10567.53,2.23,6438.41,691.1,1043.78,2422.34,313.38,0.1073,19961.0,1028.3,724.3,268.286,268286,6541.6,3.83,2041.01,33.92,11130.2199,21697.749900000003,296.7,2.12,3241.6,50.3,15.13,4.85,2576.0,Carrying Capacity Volume Pressure,High visitor intensity (15.1 visitors per resident). Priority: Shift from visitor volume targets to yield-per-visitor optimization.,#3b82f6
2024,Melaka,MY-04,Southern,19128.4,6158.37,12970.04,2.13,7933.21,891.62,1310.17,2937.45,410.87,0.1124,20159.0,1046.7,742.5,274.723,274723,6891.0,3.81,2070.57,27.59,13117.328099999999,26087.3681,304.1,2.11,3957.3,49.9,18.27,5.88,3245.5,Carrying Capacity Volume Pressure,High visitor intensity (18.3 visitors per resident). Priority: Shift from visitor volume targets to yield-per-visitor optimization.,#3b82f6
2025,Melaka,MY-04,Southern,20832.2,7178.69,13653.51,2.11,8732.4,954.52,1460.17,3125.36,485.0,0.1093,20655.0,1052.0,745.9,281.314,281314,7259.0,3.74,2072.0,37.97,15147.035899999999,28800.545899999997,303.2,1.9,4338.6,49.7,19.8,6.82,3393.1,Carrying Capacity Volume Pressure,High visitor intensity (19.8 visitors per resident). Priority: Shift from visitor volume targets to yield-per-visitor optimization.,#3b82f6
2018,Negeri Sembilan,MY-05,Central,12802.12,6075.39,6726.73,2.46,4830.05,655.06,685.07,1334.61,254.53,0.1356,10924.0,1122.9,777.1,265.08,265080,4858.8,4.24,2323.44,39.04,14945.4594,21672.1894,222.9,1.11,2265.1,46.9,11.4,5.41,2471.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
