year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2025,Negeri Sembilan,1243.9,1.2439,286.7,204.2,314.2,227.9,211.2,957.5,857.0,100.5,23.0,68.9,8.1,21.3,32.8,23.8,22.1,45.2,MY-05,Central,329.771,329771,5783.0,7578.1,3.77,official_dosm_estimates
2018,Pahang,1664.7,1.6647,423.9,319.9,426.0,246.6,248.3,1240.8,1125.0,115.8,25.5,67.6,7.0,25.8,34.3,19.9,20.0,48.0,MY-06,East Coast,342.659,342659,4280.7,5439.7,4.86,official_dosm_estimates
2019,Pahang,1671.4,1.6714,420.1,314.5,434.4,246.4,256.1,1251.4,1130.4,121.0,25.1,67.6,7.2,25.1,34.7,19.7,20.5,47.9,MY-06,East Coast,348.8,348800,4440.0,5667.0,4.79,official_dosm_estimates
2020,Pahang,1591.3,1.5913,424.6,279.2,392.2,278.7,216.6,1166.7,1066.4,100.3,26.7,67.0,6.3,23.9,33.6,23.9,18.6,49.2,MY-06,East Coast,359.721,359721,4542.0,5703.4,4.42,official_dosm_estimates
2021,Pahang,1601.5,1.6015,418.4,287.2,385.7,287.5,222.8,1183.2,1079.1,104.1,26.1,67.4,6.5,24.3,32.6,24.3,18.8,48.4,MY-06,East Coast,370.984,370984,4646.3,5740.1,4.32,official_dosm_estimates
2022,Pahang,1614.3,1.6143,411.4,294.9,383.1,297.9,226.9,1202.8,1095.9,106.9,25.5,67.9,6.6,24.5,31.9,24.8,18.9,47.3,MY-06,East Coast,382.6,382600,4753.0,5777.0,4.22,official_dosm_estimates
2023,Pahang,1643.2,1.6432,405.7,305.8,391.4,307.9,232.4,1237.5,1127.3,110.2,24.7,68.6,6.7,24.7,31.6,24.9,18.8,45.8,MY-06,East Coast,389.476,389476,4862.7,5919.7,4.22,official_dosm_estimates
2024,Pahang,1667.7,1.6677,398.5,312.5,398.8,320.7,237.3,1269.3,1156.3,113.0,23.9,69.3,6.8,24.6,31.4,25.3,18.7,44.2,MY-06,East Coast,396.475,396475,4975.0,6066.0,4.21,official_dosm_estimates
2025,Pahang,1676.8,1.6768,389.2,313.2,396.2,330.9,247.5,1287.8,1168.5,119.3,23.2,69.7,7.1,24.3,30.8,25.7,19.2,43.5,MY-06,East Coast,403.6,403600,5089.9,6215.9,4.15,official_dosm_estimates
2018,Perak,2503.5,2.5035,541.9,488.1,561.4,405.6,506.3,1961.4,1705.4,256.0,21.6,68.1,10.2,24.9,28.6,20.7,25.8,46.8,MY-08,Northern,632.526,632526,4182.1,5444.6,3.96,official_dosm_estimates
2019,Perak,2508.8,2.5088,530.1,481.2,578.7,399.8,519.0,1978.7,1712.6,266.1,21.1,68.3,10.6,24.3,29.2,20.2,26.2,46.5,MY-08,Northern,639.4,639400,4273.0,5645.0,3.92,official_dosm_estimates
2020,Perak,2496.0,2.496,578.7,442.5,569.6,432.3,473.1,1917.5,1694.2,223.3,23.2,67.9,8.9,23.1,29.7,22.5,24.7,47.3,MY-08,Northern,642.881,642881,4345.4,5689.3,3.88,official_dosm_estimates
2021,Perak,2515.8,2.5158,573.9,445.6,572.7,438.2,485.3,1941.8,1707.6,234.2,22.8,67.9,9.3,22.9,29.5,22.6,25.0,47.3,MY-08,Northern,646.381,646381,4419.1,5734.0,3.89,official_dosm_estimates
2022,Perak,2514.4,2.5144,564.7,445.0,572.3,442.8,489.6,1949.7,1710.0,239.7,22.5,68.0,9.5,22.8,29.4,22.7,25.1,47.0,MY-08,Northern,649.9,649900,4494.0,5779.0,3.87,official_dosm_estimates
2023,Perak,2541.2,2.5412,554.0,450.4,588.6,451.0,497.3,1987.3,1740.1,247.2,21.8,68.5,9.7,22.7,29.6,22.7,25.0,46.0,MY-08,Northern,655.336,655336,4589.5,5972.8,3.88,official_dosm_estimates
2024,Perak,2569.4,2.5694,545.3,448.0,609.5,463.2,503.6,2024.3,1769.7,254.6,21.2,68.9,9.9,22.1,30.1,22.9,24.9,45.2,MY-08,Northern,660.817,660817,4687.0,6173.0,3.89,official_dosm_estimates
2025,Perak,2573.8,2.5738,527.8,442.0,616.1,472.5,515.6,2046.2,1780.2,266.0,20.5,69.2,10.3,21.6,30.1,23.1,25.2,44.6,MY-08,Northern,666.344,666344,4786.6,6380.0,3.86,official_dosm_estimates
2018,Perlis,253.5,0.2535,61.9,46.1,62.5,37.4,45.8,191.8,169.3,22.5,24.4,66.8,8.9,24.0,32.6,19.5,23.9,49.9,MY-09,Northern,57.955,57955,4460.1,5311.8,4.37,official_dosm_estimates
2019,Perlis,254.0,0.254,62.0,43.3,65.5,36.5,46.8,192.1,168.9,23.2,24.4,66.5,9.1,22.5,34.1,19.0,24.4,50.4,MY-09,Northern,58.8,58800,4594.0,5476.0,4.32,official_dosm_estimates
